"","x"
"Bodyweight1",27.03
"Bodyweight2",24.8
"Bodyweight3",27.02
"Bodyweight4",28.07
"Bodyweight5",23.55
"Bodyweight6",22.72
"Bodyweight7",24.82
"Bodyweight8",21.6
"Bodyweight9",23.98
"Bodyweight10",26.6
"Bodyweight11",19.24
"Bodyweight12",21.43
"Bodyweight13",22.73
"Bodyweight14",20.1
"Bodyweight15",20.6
"Bodyweight16",21.49
"Bodyweight17",24.73
"Bodyweight18",27.92
"Bodyweight19",27.51
"Bodyweight20",19.88
"Bodyweight21",20.72
"Bodyweight22",24
"Bodyweight23",25.08
"Bodyweight24",25.27
"Bodyweight25",22.08
"Bodyweight26",20.52
"Bodyweight27",23.39
"Bodyweight28",19.87
"Bodyweight29",17.95
"Bodyweight30",31.83
"Bodyweight31",21.71
"Bodyweight32",29.99
"Bodyweight33",20.89
"Bodyweight34",29.6
"Bodyweight35",22.77
"Bodyweight36",26.03
"Bodyweight37",36.84
"Bodyweight38",26.25
"Bodyweight39",22.93
"Bodyweight40",28.25
"Bodyweight41",23.84
"Bodyweight42",20.53
"Bodyweight43",24.1
"Bodyweight44",24.79
"Bodyweight45",23.68
"Bodyweight46",21.86
"Bodyweight47",27.25
"Bodyweight48",21.55
"Bodyweight49",24.12
"Bodyweight50",23.07
"Bodyweight51",20.43
"Bodyweight52",24.82
"Bodyweight53",25.43
"Bodyweight54",22.12
"Bodyweight55",20.99
"Bodyweight56",23.28
"Bodyweight57",25.78
"Bodyweight58",22
"Bodyweight59",20.74
"Bodyweight60",21.51
"Bodyweight61",26.85
"Bodyweight62",25.54
"Bodyweight63",22.51
"Bodyweight64",21.92
"Bodyweight65",21.32
"Bodyweight66",23.59
"Bodyweight67",26.14
"Bodyweight68",20.27
"Bodyweight69",29.6
"Bodyweight70",24.77
"Bodyweight71",22.36
"Bodyweight72",21.65
"Bodyweight73",22.08
"Bodyweight74",26.59
"Bodyweight75",24.6
"Bodyweight76",22.19
"Bodyweight77",29.19
"Bodyweight78",25.14
"Bodyweight79",23.19
"Bodyweight80",27.36
"Bodyweight81",23.53
"Bodyweight82",23.54
"Bodyweight83",18.41
"Bodyweight84",28.14
"Bodyweight85",23.34
"Bodyweight86",20.11
"Bodyweight87",18.08
"Bodyweight88",21.03
"Bodyweight89",24.23
"Bodyweight90",19.67
"Bodyweight91",22.66
"Bodyweight92",26.66
"Bodyweight93",20.69
"Bodyweight94",27.42
"Bodyweight95",21.91
"Bodyweight96",16.82
"Bodyweight97",24.47
"Bodyweight98",23.96
"Bodyweight99",23.18
"Bodyweight100",28.8
"Bodyweight101",26.37
"Bodyweight102",23.61
"Bodyweight103",26.07
"Bodyweight104",27.75
"Bodyweight105",23.7
"Bodyweight106",23.73
"Bodyweight107",24.49
"Bodyweight108",22.87
"Bodyweight109",29.23
"Bodyweight110",21.46
"Bodyweight111",22.12
"Bodyweight112",33.47
"Bodyweight113",24.96
"Bodyweight114",26.15
"Bodyweight115",24.89
"Bodyweight116",19.41
"Bodyweight117",26.36
"Bodyweight118",26.47
"Bodyweight119",23.19
"Bodyweight120",22.32
"Bodyweight121",20.03
"Bodyweight122",23.51
"Bodyweight123",21.35
"Bodyweight124",21.58
"Bodyweight125",22.27
"Bodyweight126",23.09
"Bodyweight127",23.88
"Bodyweight128",24.04
"Bodyweight129",27.15
"Bodyweight130",18.8
"Bodyweight131",28.07
"Bodyweight132",24.46
"Bodyweight133",25.42
"Bodyweight134",20.28
"Bodyweight135",24.06
"Bodyweight136",15.51
"Bodyweight137",22.51
"Bodyweight138",15.94
"Bodyweight139",19.9
"Bodyweight140",19.44
"Bodyweight141",22.18
"Bodyweight142",25.97
"Bodyweight143",25.96
"Bodyweight144",23.12
"Bodyweight145",20.98
"Bodyweight146",24.78
"Bodyweight147",22.56
"Bodyweight148",20.36
"Bodyweight149",16.05
"Bodyweight150",17.95
"Bodyweight151",22.71
"Bodyweight152",28.22
"Bodyweight153",21.5
"Bodyweight154",20.3
"Bodyweight155",19.96
"Bodyweight156",19.07
"Bodyweight157",22.35
"Bodyweight158",20.54
"Bodyweight159",30.45
"Bodyweight160",23.54
"Bodyweight161",20.61
"Bodyweight162",20.18
"Bodyweight163",20.59
"Bodyweight164",23.32
"Bodyweight165",26.35
"Bodyweight166",22.91
"Bodyweight167",25.1
"Bodyweight168",28.46
"Bodyweight169",21.31
"Bodyweight170",28.53
"Bodyweight171",28.43
"Bodyweight172",20.81
"Bodyweight173",27
"Bodyweight174",24.55
"Bodyweight175",21.18
"Bodyweight176",21.77
"Bodyweight177",23.8
"Bodyweight178",20.99
"Bodyweight179",23.11
"Bodyweight180",24.82
"Bodyweight181",22.59
"Bodyweight182",18.47
"Bodyweight183",21.1
"Bodyweight184",25.83
"Bodyweight185",16.31
"Bodyweight186",24.79
"Bodyweight187",26.08
"Bodyweight188",32.74
"Bodyweight189",27.26
"Bodyweight190",31.24
"Bodyweight191",33.81
"Bodyweight192",23.52
"Bodyweight193",27.73
"Bodyweight194",28.26
"Bodyweight195",23.3
"Bodyweight196",18.83
"Bodyweight197",27.7
"Bodyweight198",19.79
"Bodyweight199",27.2
"Bodyweight200",25.4
"Bodyweight201",26.75
"Bodyweight202",23.45
"Bodyweight203",24.77
"Bodyweight204",23.39
"Bodyweight205",22.95
"Bodyweight206",21.84
"Bodyweight207",28.4
"Bodyweight208",28.21
"Bodyweight209",33.36
"Bodyweight210",29.13
"Bodyweight211",24.21
"Bodyweight212",22.99
"Bodyweight213",24.68
"Bodyweight214",24.67
"Bodyweight215",25.12
"Bodyweight216",23.95
"Bodyweight217",25.69
"Bodyweight218",28.36
"Bodyweight219",24.96
"Bodyweight220",27.36
"Bodyweight221",26.91
"Bodyweight222",26.58
"Bodyweight223",23.39
"Bodyweight224",20.25
"Bodyweight225",23.22
